MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2007-06-01,6,2007,A,1846,360469,13943.009579619,14011.833379857,13859.204706095,13934.933454286,13934.933454286,222620738.095238,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-06-01,6,2007,T,775,443060,13943.009579619,14011.833379857,13859.204706095,13934.933454286,13934.933454286,222620738.095238,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-06-01,6,2007,D,1623,715715,13943.009579619,14011.833379857,13859.204706095,13934.933454286,13934.933454286,222620738.095238,4.25,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2006-11-01,11,2006,A,1050,329537,12404.895507818,12478.831809318,12353.527299318,12422.34557,12422.34557,214683081.818182,4.25,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2006-11-01,11,2006,T,404,410085,12404.895507818,12478.831809318,12353.527299318,12422.34557,12422.34557,214683081.818182,4.25,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2006-11-01,11,2006,D,904,647562,12404.895507818,12478.831809318,12353.527299318,12422.34557,12422.34557,214683081.818182,4.25,21892,13396,38296,9215,4517,3562,3140,-5620,4152
2016-11-01,11,2016,A,1200,512100,14817.791060045,14871.640846818,14767.354581,14821.927379409,14821.927379409,226577081.818182,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-11-01,11,2016,T,376,667100,14817.791060045,14871.640846818,14767.354581,14821.927379409,14821.927379409,226577081.818182,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2016-11-01,11,2016,D,638,1511100,14817.791060045,14871.640846818,14767.354581,14821.927379409,14821.927379409,226577081.818182,0.5,24077,15161,34750,9574,4942,3788,9095,-9928,-5230
2010-10-01,10,2010,A,984,390074,12560.1148926,12611.6100098,12500.7649414,12569.4849608,12569.4849608,197395705,1,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-10-01,10,2010,T,377,487530,12560.1148926,12611.6100098,12500.7649414,12569.4849608,12569.4849608,197395705,1,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-10-01,10,2010,D,976,796883,12560.1148926,12611.6100098,12500.7649414,12569.4849608,12569.4849608,197395705,1,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2021-05-01,5,2021,A,2049,737100,19428.4499999,19506.23017575,19356.27001945,19442.90488285,19442.90488285,238416995,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
2021-05-01,5,2021,T,800,936300,19428.4499999,19506.23017575,19356.27001945,19442.90488285,19442.90488285,238416995,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
2021-05-01,5,2021,D,1430,1800600,19428.4499999,19506.23017575,19356.27001945,19442.90488285,19442.90488285,238416995,0.25,23583,17885,28002,4249,948,772,12764,-12248,-3480
